Date,Open,High,Low,Close,Volume,Prev_Close,Prev_High,Prev_Low,Prev_Volume,MA5_Close,MA10_Close,Volatility_Close,MA5_Volume,MA10_Volume,Volatility_Volume,MA5_Open,MA10_Open,Volatility_Open,MA5_High,MA10_High,Volatility_High,MA5_Low,MA10_Low,Volatility_Low,MACD_Close,MACD_Volume,MACD_Open,MACD_High,MACD_Low,RSI_14_Close,RSI_14_Volume,RSI_14_Open,RSI_14_High,RSI_14_Low
2024-07-19,120.35,121.6,117.37,117.93,217223800,121.09,122.4,116.56,320979530.0,122.362,126.29400000000001,4.829624208983422,270277039.6,275252518.2,81637334.16702633,124.50999999999999,127.843,4.647961918948849,125.256,129.404,4.611629863724913,120.48200000000001,124.479,5.021854239222511,0.6211765405709713,-29829466.819973588,1.24973461529396,0.8726392615179606,0.8511879931674287,44.54895763850831,44.924452991430826,46.02658424174819,44.23605756700063,45.08639694046143
2024-07-22,120.35,124.07,119.86,123.54,258068943,117.93,121.6,117.37,217223800.0,121.38199999999999,125.82800000000002,3.6381547520685134,280225595.4,277291680.3,74958113.54025424,122.46799999999999,127.12899999999999,3.4010468976476997,123.792,128.734,3.087583197259541,119.018,123.76100000000001,3.379470372705934,0.5149310807477718,-29478075.786210716,0.7370881742745894,0.5601038140436998,0.5991191820086215,50.92398492440031,46.997748093861155,46.02658305656657,48.185260348502226,49.24895595494458
2024-07-23,122.78,124.69,122.1,122.59,173910983,123.54,124.07,119.86,258068943.0,120.628,124.949,2.5875123188109974,272053889.0,265980696.6,85380456.72612461,121.33599999999998,126.37199999999999,1.0360887992827952,122.922,127.82099999999998,1.3795905189582318,118.522,123.106,2.398753843143813,0.3509178834332829,-35502132.395449996,0.5187015989008188,0.3577742313024146,0.5714474879639511,49.87823142566784,43.37466805123456,49.43400194094171,49.158573459547675,52.72097617925543
2024-07-24,119.17,119.95,113.44,114.25,327776884,122.59,124.69,122.1,173910983.0,119.88,122.883,3.7981311193794536,259592028.0,273860528.1,66249958.47849637,120.9,124.886,1.417286139069788,122.54199999999999,126.306,1.9088399618615064,117.86600000000001,121.208,3.295600097098746,-0.43974764038139824,-27672965.326144457,0.056811196301268296,-0.17887858602989581,-0.1401859174736444,41.768874092441806,50.83694868252455,44.89908831375437,42.5741557221886,41.033292970192484
2024-07-25,113.04,116.63,106.3,112.28,460067019,114.25,119.95,113.44,327776884.0,118.11800000000001,121.37100000000001,4.961750699097903,287409525.8,282388956.2,111925152.09839456,119.138,122.61499999999998,3.653377889022659,121.38799999999999,124.354,3.2729069647638105,115.814,119.133,6.214038944197039,-1.2097001158021783,-10775540.82003504,-0.7898220818630506,-0.859449597953315,-1.2599814542018635,40.110001260081354,56.18343986547291,38.44899308094882,38.667471216022015,34.284737381266595
2024-07-26,116.19,116.2,111.58,113.06,293399073,112.28,116.63,106.3,460067019.0,117.144,119.753,5.4607810796623655,302644580.4,286460810.0,104950301.1135013,118.306,121.40799999999999,3.779858462958609,120.30799999999999,122.78200000000001,3.996438414388425,114.65599999999999,117.569,6.388621134485715,-1.737402339769318,-10589030.109747708,-1.1950609690957066,-1.4167686636557875,-1.7054869539043693,41.107320259964,48.9594683415703,42.98189161007761,38.17881805828779,41.89513315954007
2024-07-29,113.69,116.28,111.3,111.59,248152068,113.06,116.2,111.58,293399073.0,114.75399999999999,118.06800000000001,4.490493291387741,300661205.4,290443400.4,106090810.61919679,116.974,119.721,4.043751970633222,118.75,121.271,3.6681534864287646,112.944,115.981,5.761603943347521,-2.2472362848931624,-13900861.601656199,-1.6966155036535042,-1.83086672640799,-2.057171601059679,39.76340633516476,47.185685670529644,40.436642347891755,38.33495146876601,41.61986747508549
2024-07-30,111.52,111.99,102.54,103.73,486833274,111.59,116.28,111.3,248152068.0,110.98200000000001,115.80500000000002,4.172645443839926,363245663.6,317649776.3,104918287.96588446,114.72200000000001,118.029,3.0036094952574137,116.21,119.566,2.827428160006813,109.032,113.777,4.491004342015051,-3.243067761655027,2553589.1595294476,-2.2419119948671664,-2.473905131591451,-3.002509404666256,33.463753774404864,56.200313233669114,38.31571327529819,33.45539697767779,34.07639372685874
2024-07-31,112.9,118.34,110.88,117.02,473174182,103.73,111.99,102.54,486833274.0,111.53600000000002,115.70800000000001,4.844763152105384,392325123.2,325958575.6,112505064.97146542,113.468,117.184,1.714575749274653,115.88799999999999,119.215,2.3456491638775625,108.52000000000001,113.19299999999998,3.9796482256599135,-2.9337495652855097,14333125.751750052,-2.5342327660161175,-2.4465708340612053,-3.0483742546864647,48.36078373950289,55.61528263498894,40.454671848567465,44.679944040264736,44.40723124830315
2024-08-01,117.53,120.16,106.8104,109.21,523462326,117.02,118.34,110.88,473174182.0,110.922,114.52000000000001,4.920840375382856,405004184.6,346206855.2,124933749.54214737,114.36600000000001,116.752,2.4517198045454913,116.59400000000001,118.99100000000001,3.0502262211186104,108.62208000000001,112.21804,3.9144805060184016,-3.2767767913534698,27382251.034410417,-2.3674729218145956,-2.2530399492808897,-3.3719783599318305,42.35878743694963,57.37457114860629,47.08443432553704,47.41759812378652,41.02852115847285
